title,type,code,url,cover_url,cover_alt
Cahiers d'Addoc,Revue,CADA,https://shs.cairn.info/revue-cahiers-d-addoc?lang=fr,https://shs.cairn.info/numero/CADA_001/cover/thumbnail?lang=fr,Couverture de CADA_001
Orages,Revue,Revue Orages,https://shs.cairn.info/revue-orages?lang=fr,https://shs.cairn.info/numero/ORA_018/cover/thumbnail?lang=fr,Couverture de ORA_018
Revue d'Histoire de l'Énergie,Revue,Fondation groupe EDF,https://stm.cairn.info/revue-d-histoire-de-l-energie?lang=fr,https://shs.cairn.info/numero/JEHRHE_011/cover/thumbnail?lang=fr,Couverture de JEHRHE_011
Art et thérapie,Revue,Art et thérapie,https://shs.cairn.info/revue-art-et-therapie?lang=fr,https://shs.cairn.info/numero/RATH_118/cover/thumbnail?lang=fr,Couverture de RATH_118
France Forum,Revue,Editions HDiffusion,https://shs.cairn.info/revue-france-forum?lang=fr,https://shs.cairn.info/numero/FFO_414/cover/thumbnail?lang=fr,Couverture de FFO_414
Psy Cause,Revue,Psy Cause International,https://shs.cairn.info/revue-psy-cause?lang=fr,https://shs.cairn.info/numero/PSCA_075/cover/thumbnail?lang=fr,Couverture de PSCA_075
Éducation thérapeutique du patient / Therapeutic patient education,Revue,EDP Sciences,https://stm.cairn.info/revue-education-therapeutique-du-patient?lang=fr,https://shs.cairn.info/numero/ETP_142/cover/thumbnail?lang=fr,Couverture de ETP_142
Les Cahiers de la République universelle,Revue,Éditions Matériologiques,https://shs.cairn.info/revue-les-cahiers-de-la-republique-universelle?lang=fr,https://shs.cairn.info/numero/CDRU_001/cover/thumbnail?lang=fr,Couverture de CDRU_001
Journal de l‘hypnose et de la santé intégrative,Revue,Dunod,https://stm.cairn.info/revue-journal-de-l-hypnose-et-de-la-sante-integrative?lang=fr,https://shs.cairn.info/numero/JHSI_001/cover/thumbnail?lang=fr,Couverture de JHSI_001
Pratiques,Revue,Revue pratiques,https://stm.cairn.info/revue-pratiques?lang=fr,https://shs.cairn.info/numero/PRAT_105/cover/thumbnail?lang=fr,Couverture de PRAT_105
Recherches internationales,Revue,Association Paul Langevin,https://shs.cairn.info/revue-recherches-internationales?lang=fr,https://shs.cairn.info/numero/REIN_129/cover/thumbnail?lang=fr,Couverture de REIN_129
Cahiers de récits,Revue,Université de technologie de Belfort-Montbéliard,https://shs.cairn.info/revue-cahiers-de-recits?lang=fr,https://shs.cairn.info/numero/CDR_011/cover/thumbnail?lang=fr,Couverture de CDR_011
