title,subtitle,link,cover_image_url,publisher,scrape_date
Cahiers d'Addoc,ADDOC - Association des cinéastes documentaristes,https://shs.cairn.info/revue-cahiers-d-addoc?lang=fr,https://shs.cairn.info/numero/CADA_001/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:00.728490
Orages,Revue Orages,https://shs.cairn.info/revue-orages?lang=fr,https://shs.cairn.info/numero/ORA_012/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:03.823290
Revue d'Histoire de l'Énergie,Fondation groupe EDF,https://stm.cairn.info/revue-d-histoire-de-l-energie?lang=fr,https://shs.cairn.info/numero/JEHRHE_011/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:07.233917
Art et thérapie,Art et thérapie,https://shs.cairn.info/revue-art-et-therapie?lang=fr,https://shs.cairn.info/numero/RATH_118/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:09.643524
France Forum,Editions HDiffusion,https://shs.cairn.info/revue-france-forum?lang=fr,https://shs.cairn.info/numero/FFO_414/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:12.912108
Psy Cause,Psy Cause International,https://shs.cairn.info/revue-psy-cause?lang=fr,https://shs.cairn.info/numero/PSCA_075/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:16.325908
Éducation thérapeutique du patient / Therapeutic patient education,EDP Sciences,https://stm.cairn.info/revue-education-therapeutique-du-patient?lang=fr,https://shs.cairn.info/numero/ETP_142/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:18.701865
Les Cahiers de la République universelle,Éditions Matériologiques,https://shs.cairn.info/revue-les-cahiers-de-la-republique-universelle?lang=fr,https://shs.cairn.info/numero/CDRU_001/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:20.778245
Journal de l‘hypnose et de la santé intégrative,Dunod,https://stm.cairn.info/revue-journal-de-l-hypnose-et-de-la-sante-integrative?lang=fr,https://shs.cairn.info/numero/JHSI_001/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:22.873244
Pratiques,Revue pratiques,https://stm.cairn.info/revue-pratiques?lang=fr,https://shs.cairn.info/numero/PRAT_105/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:24.670579
Recherches internationales,Association Paul Langevin,https://shs.cairn.info/revue-recherches-internationales?lang=fr,https://shs.cairn.info/numero/REIN_129/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:28.098765
Cahiers de récits,Université de technologie de Belfort-Montbéliard,https://shs.cairn.info/revue-cahiers-de-recits?lang=fr,https://shs.cairn.info/numero/CDR_011/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:31.171179
Cahiers ISPOLE,Université catholique de Louvain,https://shs.cairn.info/revue-cahiers-ispole?lang=fr,https://shs.cairn.info/numero/CISP_001/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:32.819482
Revue Lumen Vitae,Université catholique de Louvain,https://shs.cairn.info/revue-lumen-vitae?lang=fr,https://shs.cairn.info/numero/LV_793/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:35.745044
Cahiers pédagogiques,CRAP - Cahiers pédagogiques,https://shs.cairn.info/revue-cahiers-pedagogiques?lang=fr,https://shs.cairn.info/numero/CAPE_595/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:39.248172
Otrante,Presses universitaires de Rennes,https://shs.cairn.info/revue-otrante?lang=fr,https://shs.cairn.info/numero/OTRA_053/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:41.416056
Le Visiteur,Société française des architectes (S.F.A.),https://shs.cairn.info/revue-le-visiteur?lang=fr,https://shs.cairn.info/numero/VISIT_022/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:44.123409
Proche-Orient Chrétien,Université Saint-Joseph de Beyrouth,https://shs.cairn.info/revue-proche-orient-chretien?lang=fr,https://shs.cairn.info/numero/POC_691/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:45.793211
Revue de l'art,Éditions Ophrys,https://shs.cairn.info/revue-de-l-art?lang=fr,https://shs.cairn.info/numero/RDA_224/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:48.095202
Revue d'études palestiniennes,Institut des études palestiniennes,https://shs.cairn.info/revue-d-etudes-palestiniennes?lang=fr,https://shs.cairn.info/numero/REPA_027/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:51.479169
